data,ano,mes,nome_mes,trimestre,dia_semana,inicio_mes,fim_mes,inicio_ano,fim_ano,data_id
2022-01-01,2022,1,January,1,Saturday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220101
2022-01-02,2022,1,January,1,Sunday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220102
2022-01-03,2022,1,January,1,Monday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220103
2022-01-04,2022,1,January,1,Tuesday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220104
2022-01-05,2022,1,January,1,Wednesday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220105
2022-01-06,2022,1,January,1,Thursday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220106
2022-01-07,2022,1,January,1,Friday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220107
2022-01-08,2022,1,January,1,Saturday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220108
2022-01-09,2022,1,January,1,Sunday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220109
2022-01-10,2022,1,January,1,Monday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220110
2022-01-11,2022,1,January,1,Tuesday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220111
2022-01-12,2022,1,January,1,Wednesday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220112
2022-01-13,2022,1,January,1,Thursday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220113
2022-01-14,2022,1,January,1,Friday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220114
2022-01-15,2022,1,January,1,Saturday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220115
2022-01-16,2022,1,January,1,Sunday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220116
2022-01-17,2022,1,January,1,Monday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220117
2022-01-18,2022,1,January,1,Tuesday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220118
2022-01-19,2022,1,January,1,Wednesday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220119
2022-01-20,2022,1,January,1,Thursday,2022-01-01,2022-01-31,2022-01-01,2022-12-31,20220120
