VendaID,DataID,ClienteID,ProdutoID,Quantidade,ValorUnitario,ValorTotal
1,20230825,3,4,2,2844.61,5689.22
2,20221114,5,3,4,2609.07,10436.28
3,20220707,6,1,3,812.2,2436.6000000000004
4,20221215,4,2,2,2620.54,5241.08
5,20220116,6,4,3,1316.83,3950.49
6,20220412,2,4,1,1558.23,1558.23
7,20231214,9,3,3,2630.97,7892.91
8,20240812,4,3,1,755.99,755.99
9,20220706,5,5,4,218.09,872.36
10,20220218,5,5,3,1452.84,4358.5199999999995
11,20220509,4,4,3,2261.66,6784.98
12,20220503,4,3,4,745.21,2980.84
13,20240904,9,3,1,1598.35,1598.35
14,20240619,8,1,2,264.55,529.1
15,20240428,5,4,3,106.62,319.86
16,20220211,9,1,2,2254.49,4508.98
17,20230624,5,3,3,1853.31,5559.93
18,20230324,3,5,2,683.59,1367.18
19,20230929,9,1,2,1689.42,3378.84
20,20220215,1,3,2,627.09,1254.18
