"Ticker","Nome","Negócios","Última (R$)","Variação"
"BBAS3","Banco do Brasil","31.265.200","27,41","+1,22%"
"MGLU3","Magazine Luiza","27.875.900","131,50","+896,21%"
"HAPV3","Hapvida","25.370.200","4,27","+0,23%"
"AMER3","Americanas","21.519.900","0,55","+0,00%"
"COGN3","Cogna","18.962.700","1,94","-1,02%"
"ABEV3","Ambev","16.516.300","11,81","-0,51%"
"ITSA4","Itaúsa","15.841.300","9,97","+0,10%"
"B3SA3","B3","14.463.100","11,10","-0,36%"
"PETR4","Petrobras","13.476.500","37,01","+1,09%"
"ITUB4","Itaú Unibanco","11.997.200","31,74","-0,35%"
"GOLL4","GOL","11.430.000","1,36","-3,55%"
"RAIZ4","Raízen","11.349.700","2,90","+2,47%"
"BBDC4","Banco Bradesco","10.945.500","12,93","-0,31%"
"CIEL3","Cielo","8.565.900","5,56","+0,00%"
"GGBR4","Gerdau","8.474.000","18,51","-1,12%"
"AZUL4","Azul","7.892.500","10,12","-2,32%"
"ONCO3","Oncoclínicas","7.849.900","9,38","+2,85%"
"GOAU4","Metalúrgica Gerdau","7.776.800","10,88","-0,64%"
"SOMA3","Grupo Soma","7.559.000","6,03","-0,66%"
"LREN3","Lojas Renner","7.432.900","13,34","+0,08%"
"PETZ3","Petz","7.161.200","3,80","-0,78%"
"CVCB3","CVC","6.782.900","2,11","+3,43%"
"PCAR3","Grupo Pão de Açúcar","6.406.400","3,10","+2,65%"
"MRVE3","MRV","5.664.900","6,82","-0,58%"
"LWSA3","Locaweb","5.352.600","4,20","+1,45%"
"EQTL3","Equatorial Energia","5.240.900","30,43","+0,93%"
"CPLE6","Copel","5.121.700","9,30","+0,00%"
"VALE3","Vale","5.119.400","65,30","+0,34%"
"AESB3","AES Brasil","4.898.300","11,19","+0,09%"
"USIM5","Usiminas","4.542.200","8,01","+1,01%"
"BRFS3","BRF","4.458.700","19,33","+1,31%"
"PRIO3","PetroRio","4.392.900","43,67","+0,51%"
"IFCM3","Infracommerce","4.392.600","0,52","+1,96%"
"ENEV3","Eneva","4.357.200","12,77","-0,16%"
"CMIG4","CEMIG","4.245.400","10,39","+0,10%"
"ANIM3","Ânima Educação","4.192.100","3,85","+1,58%"
"CSAN3","Cosan","4.163.500","14,07","+0,57%"
"CCRO3","Grupo CCR","3.933.900","12,23","+0,58%"
"ASAI3","Assaí","3.789.600","12,96","-0,31%"
"BEEF3","Minerva","3.730.800","6,48","-1,07%"
"BBSE3","BB Seguridade","3.627.100","32,86","+0,52%"
"CSNA3","Siderúrgica Nacional","3.570.700","13,36","-0,45%"
"RENT3","Localiza","3.535.400","44,94","-1,01%"
"YDUQ3","YDUQS","3.453.600","13,09","-3,96%"
"JBSS3","JBS","3.326.900","28,96","-1,36%"
"CLSA3","ClearSale","3.160.500","6,70","-5,63%"
"OIBR3","Oi","3.110.300","0,59","+0,00%"
"PETR3","Petrobras","3.062.300","38,70","+1,02%"
"GFSA3","Gafisa","2.993.900","4,55","-5,21%"
"RDOR3","Rede D'Or","2.947.200","28,54","-1,52%"
"HBSA3","Hidrovias do Brasil","2.938.400","4,02","+0,00%"
"CMIN3","CSN Mineração","2.937.500","5,34","+0,95%"
"SUZB3","Suzano","2.933.500","49,00","+0,12%"
"AURE3","Auren Energia","2.881.900","12,26","+0,91%"
"NTCO3","Natura","2.810.200","15,28","-1,04%"
"TIMS3","TIM","2.741.200","16,50","+0,49%"
"VBBR3","Vibra Energia","2.733.300","22,69","+1,16%"
"AZEV4","Azevedo & Travassos","2.673.600","1,19","-4,03%"
