index;Publishing Year;Book Name;Author;language_code;Author_Rating;Book_average_rating;Book_ratings_count;genre;gross sales;publisher revenue;sale price;sales rank;Publisher ;units sold
0;19750;Beowulf;Unknown, Seamus Heaney;en-US;Novice;342;155903;genre fiction;341600;204960;488;1;HarperCollins Publishers;7000
1;19870;Batman: Year One;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil;eng;Intermediate;423;145267;genre fiction;124375;74625;199;2;HarperCollins Publishers;6250
2;20150;Go Set a Watchman;Harper Lee;eng;Novice;331;138669;genre fiction;477950;286770;869;3;Amazon Digital Services,  Inc.;5500
3;20080;When You Are Engulfed in Flames;David Sedaris;en-US;Intermediate;404;150898;fiction;412500;247500;75;3;Hachette Book Group;5500
4;20110;Daughter of Smoke & Bone;Laini Taylor;eng;Intermediate;404;198283;genre fiction;379525;227715;799;4;Penguin Group (USA) LLC;4750
5;20150;Red Queen;Victoria Aveyard;eng;Intermediate;408;83354;genre fiction;199600;0;499;5;Amazon Digital Services,  Inc.;4000
6;20110;The Power of Habit;Charles Duhigg;eng;Intermediate;403;155977;genre fiction;2749167;16495002;699;6;HarperCollins Publishers;3933
7;19940;Midnight in the Garden of Good and Evil;John Berendt;eng;Intermediate;39;167997;nonfiction;261820;157092;689;8;Hachette Book Group;3800
8;20120;Hopeless;Colleen Hoover;eng;Intermediate;434;189938;genre fiction;2609367;15656202;699;9;HarperCollins Publishers;3733
9;19050;A Little Princess;Frances Hodgson Burnett, Nancy Bond;eng;Intermediate;42;199872;genre fiction;2379234;14275404;649;10;Random House LLC;3666
10;20040;The Truth About Forever;Sarah Dessen;en-US;Intermediate;413;179415;genre fiction;179640;0;499;11;Amazon Digital Services,  Inc.;3600
11;19540;The horse and his boy;C.S. Lewis;eng;Intermediate;39;189671;fiction;215640;129384;599;11;Penguin Group (USA) LLC;3600
12;20100;Last Sacrifice ;Richelle Mead;eng;Famous;442;206792;genre fiction;343134;0;99;13;Amazon Digital Services,  Inc.;3466
13;19350;Little House on the Prairie;Laura Ingalls Wilder, Garth Williams;eng;Intermediate;418;195424;genre fiction;689734;4138404;199;13;HarperCollins Publishers;3466
14;19220;The Velveteen Rabbit;Margery Williams Bianco, William   Nicholson;eng;Intermediate;429;173469;genre fiction;2179782;13078692;654;15;Random House LLC;3333
