0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
dataset_of_track;dataset_of_artist;dataset_of_uri;dataset_of_danceability;dataset_of_energy;dataset_of_key;dataset_of_loudness;dataset_of_mode;dataset_of_speechiness;dataset_of_acousticness;dataset_of_instrumentalness;dataset_of_liveness;dataset_of_valence;dataset_of_tempo;dataset_of_duration_ms;dataset_of_time_signature;dataset_of_chorus_hit;dataset_of_sections;dataset_of_target;dataset_of_id_ano
"6 Chorale Preludes ""Schübler-Chorales"": Wachet auf. ruft uns die Stimme. BWV 645";Johann Sebastian Bach;spotify:track:4dZxCn07QoBsJwDBcjVGx1;0,136;0,0334;3;-27,654;1;0,034;0,763;0,346;0,117;0,128;71,917;276627;4;26,9243;14;0;3
"Carmen: Act I - ""Draussen am Wall von Sevilla""";Leipzig Radio Symphony Orchestra;spotify:track:6ReBerQMMWhvOBRkCXkpqv;0,404;0,0634;2;-20,219;1;0,0998;0,966;0;0,14;0,17;179,558;241467;3;39,78497;11;0;3
"Carmen: Act I - ""Hier die Order!""";Leipzig Radio Symphony Orchestra;spotify:track:3SeLUsVmAGa1IBU7ozY5Bv;0,412;0,148;1;-19,607;1;0,0609;0,965;7,87E-05;0,0619;0,308;101,028;121640;3;42,65136;5;0;3
"Carmen: Act II - ""Sag. wen erwartest du?""";Leipzig Radio Symphony Orchestra;spotify:track:77Y4ScGGjVjC58LOaDh87Y;0,403;0,0248;9;-27,787;1;0,14;0,959;0;0,211;0,218;171,132;75107;3;31,62991;3;0;3
"Carmen: Act III - ""Mische. hebe. weissagen wir!""";Leipzig Radio Symphony Orchestra;spotify:track:0WTr1ewB0xEXTGkqEDu8LB;0,456;0,093;0;-21,227;1;0,0603;0,976;0;0,0993;0,0722;129,043;406640;4;38,36931;19;0;3
"Der Waffenschmied: Akt I - ""Bringt eilig Hut und Mantel mir!""";Staatskapelle Berlin;spotify:track:2GRoVMBFKjgqIPg6ItFXl6;0,401;0,223;0;-16,15;1;0,0831;0,972;8,71E-06;0,14;0,298;90,601;371067;4;41,94412;16;0;3
"Der Waffenschmied: Akt I - Finale ""Bei nacht'gem Dunkel schleich ich herein""";Staatskapelle Berlin;spotify:track:6r9V9IhRl4ot6y0ouKdJnd;0,457;0,122;3;-18,622;1;0,037;0,972;5,83E-05;0,111;0,185;106,441;372933;3;43,35561;15;0;3
"Destruction Of Plant (From ""The Heroes Of Telemark"")";Jerry Goldsmith;spotify:track:5BWgJkbRgrJlfWdwX5VH5I;0,237;0,502;11;-14,019;1;0,0378;0,83;0,954;0,217;0,0706;81,398;249320;4;70,95656;9;0;3
"Die Zauberflöte. K.620 / Erster Aufzug: ""Der Vogelfänger bin ich ja""";Wolfgang Amadeus Mozart;spotify:track:0SIQqyYw4AVS9HoQ4lcoSi;0,546;0,156;2;-18,601;1;0,0617;0,942;8,83E-06;0,226;0,466;80,106;154667;4;55,32668;8;0;3
"Ferry Leaving Harbor (From ""The Heroes Of Telemark"")";Jerry Goldsmith;spotify:track:6iiiUgQRJrZa6ATkea5Yhh;0,259;0,346;2;-14,652;0;0,0363;0,962;0,827;0,232;0,184;83,2;268333;3;34,13796;12;0;3
